nllb	(देखिए, आप लोगों के कारण कितना जलूस निकल गया)	(ᱡᱟᱦᱟᱸᱭ ᱦᱚᱲ ᱥᱟᱶ ᱟᱢᱮᱢ ᱧᱟᱯᱟᱢᱮᱱ ᱩᱱᱤ ᱫᱚ ᱤᱧ ᱵᱚᱭᱦᱟ ᱠᱟᱱᱟᱭ ᱾)
nllb	ब्रिटिश भारतीय (१९४७)	ᱵᱽᱨᱤᱴᱤᱥ ᱤᱱᱰᱤᱭᱟ (᱑᱙᱔᱗ ᱞᱟᱦᱟ)
nllb	दिन का खाना, दोपहर आहार, लंच.	ᱧᱤᱫᱤᱨᱠᱳ ᱡᱚᱢ ᱮᱫᱟ ᱠᱟᱹᱦᱱᱤ, ᱜᱟᱭᱟᱱ, ᱜᱟᱢᱟᱢ ᱨᱮᱱᱟᱜ
nllb	और ये चौथा कार्यक्रम है।	ᱱᱚᱣᱟ ᱦᱚᱱᱚᱛ ᱫᱚ ᱯᱩᱱᱭᱟ.
nllb	अपनी भाषा चुनिए	ᱟᱢᱟᱜ ᱯᱟᱹᱨᱥᱤ ᱵᱟᱪᱷᱟᱣ ᱛᱟᱢ
wikimedia	वर्तनी	ᱣᱟᱨᱛᱟᱱᱤᱫᱷᱚᱨᱚ
nllb	सहायक पुस्तकें और वेबसाईट	ᱟᱡᱟᱫᱽ ᱡᱟᱹᱢᱩ ᱟᱨ ᱠᱟᱹᱥᱢᱤᱨ ᱥᱚᱨᱠᱟᱨ ᱣᱮᱵᱽᱥᱟᱭᱤᱴ
wikimedia	उपयोग	ᱠᱟᱹᱢᱤ ᱠᱚ
nllb	इंग्लैंड सैन।	ᱵᱨᱤᱴᱤᱥ ᱥᱟᱥᱚᱱᱤᱭᱟ.
wikimedia	महाजलप्रपात अपने नाम के अनुसार एक बड़ा और शक्तिशाली जलप्रपात होता है।	ᱢᱟᱦᱟᱡᱟᱞᱯᱨᱟᱯᱟᱛ ᱟᱡᱟᱜ ᱧᱩᱛᱩᱢ ᱞᱮᱠᱟᱛᱮ ᱢᱤᱫ ᱢᱟᱨᱟᱝ ᱟᱨ ᱭᱟᱱ ᱡᱷᱟᱨᱱᱟ ᱠᱟᱱᱟ᱾
nllb	आप ने इस विषय में पढ़ाई की है	ᱱᱚᱣᱟᱠᱳ ᱛᱟᱞᱟᱨᱮ ᱛᱤᱥ ᱫᱚ ᱟᱢᱮᱢ ᱯᱟᱲᱦᱟᱣᱮᱱ
nllb	२०१० राष्ट्रमंडल खेल 21	᱕ ᱠᱷᱚᱢᱢᱚᱢ ᱒᱐ ᱥᱟᱛᱷᱩᱯᱟᱞᱤ
wikimedia	परिवार मातृत्व का बंधन	ᱜᱷᱟᱨᱚᱸᱡᱽ ᱟᱭᱚ ᱥᱟᱹᱜᱟᱹᱭ
nllb	खेल जगत (कमेंन्ट्री)	ᱟᱠᱷᱤᱞ ᱟᱠᱠᱤᱱᱮᱱᱤ (ᱤᱱᱴᱚᱨᱱᱮᱴ ᱢᱩᱵᱷᱤ ᱰᱟᱴᱟᱵᱮᱥ ᱨᱮ)
nllb	1. €100 लाइफस्टाइल प्रायोजन पैक 3 संपर्क योग्य लोगों को आपके स्तर 1 में रखने की लागत को कवर करेगा।	ᱟᱹ᱐ᱩ- ᱟᱹ᱐ᱩ ᱣᱤᱹᱮᱹᱟᱭᱹᱮᱯᱷᱹ ᱥᱮᱴᱮᱨ ᱚᱪᱚ ᱞᱟᱹᱜᱤ᱐ ᱮᱡᱮᱱᱥᱤ ᱠᱚ ᱥᱟᱞᱟᱜ ᱐ᱮ ᱡᱚᱜᱟᱡᱚᱜ ᱫᱚᱦᱚᱭᱟᱭ ᱾
nllb	एक फर्श चटाई का उपयोग कहीं भी किया जा सकता है।	ᱡᱟᱸᱦᱟ ᱨᱮᱜᱮ ᱠᱤᱨᱮᱱ ᱞᱟᱜᱤᱫ ᱵᱮᱵᱷᱟᱨ ᱜᱟᱱᱚᱜᱼᱟ ᱾
wikimedia	भारत के अन्तर्राष्ट्रीय हवाई अड्डे का नाम	ᱥᱤᱧᱚᱛ ᱨᱮᱱᱟᱜ ᱡᱮᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱩᱰᱟᱹᱱ ᱰᱟᱹᱦᱤ ᱨᱮᱱᱟᱜ ᱧᱩᱛᱩᱢ
nllb	इंटरनेट पर और भी एप्लिकेशन उपलब्ध हैं।	ᱟᱵᱚ ᱤᱱᱴᱟᱨᱱᱟᱴ ᱨᱮ ᱟᱨᱦᱚᱸ ᱫᱟᱹᱭᱠᱟᱹ ᱵᱚᱱ ᱧᱟᱢ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ।
nllb	रमणी हॉस्पिटल	ᱨᱟᱢ ᱥᱚᱱᱮᱦᱤ ᱜᱷᱟᱴ
nllb	यह पिछली सदी के साठ के दशक में हुआ था।	᱑ ᱚᱠᱟ ᱞᱮᱠᱟᱨᱮ ᱱᱚᱣᱟ ᱨᱩᱣᱟ.
nllb	उत्तरी जर्मैनी भाषाएँः इनमें स्कैंडिनेविया क्षेत्र की भाषाएँ शामिल हैं	ᱮᱛᱚᱢ ᱡᱚᱨᱢᱟᱱᱤᱠ ᱯᱟᱹᱨᱥᱤᱠᱚ: ᱱᱚᱶᱟ ᱨᱮ ᱥᱠᱮᱱᱰᱮᱱᱮᱵᱷᱤᱭᱟ ᱴᱚᱴᱷᱟ ᱨᱮᱱᱟᱜ ᱯᱟᱹᱨᱥᱤ ᱠᱚ ᱥᱮᱞᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱾
nllb	13 अन्य साहित्य के साथ संबंध	᱒ ᱮᱴᱟᱜ ᱯᱟᱹᱨᱥᱤᱠᱚ ᱥᱟᱶ ᱥᱟᱹᱜᱟᱹᱭ
nllb	जनवरी, 2006-जुलाई, 2010 वैश्विक मामलों की भारतीय परिषद के सदस्य	᱓ ᱑᱙᱖᱒ ᱜᱤᱭᱟᱥᱩᱫᱫᱤᱱ ᱟᱦᱢᱮᱫᱽ ᱥᱤᱧᱚᱛ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱠᱚᱝᱜᱽᱨᱮᱥ
wikimedia	पाषाणकाल- खनन के प्राप्त औजारों से पता चला है कि यहां के मूल निवासी मोन-ख्मेर और मुंडा थे।	ᱯᱟᱥᱟᱬᱠᱟᱞ- ᱠᱷᱟᱱᱟᱱ ᱠᱷᱚᱱ ᱚᱰᱚᱠᱚᱜ ᱚᱡᱟᱨ ᱠᱷᱚᱱ ᱵᱟᱪᱟᱭᱚᱜ ᱠᱟᱱᱟ ᱡᱮ ᱱᱚᱸᱰᱮ ᱨᱮᱱ ᱟᱥᱚᱞ ᱠᱚ ᱫᱚ ᱢᱚᱱ-ᱠᱷᱢᱮᱨ ᱟᱨ ᱢᱩᱸᱰᱟ ᱠᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ।
nllb	वर्ष द्वितीय	ᱫᱚᱥᱟᱨ ᱥᱮᱨᱢᱟ
wikimedia	आधुनिक पूजा	ᱱᱟᱦᱟᱜ ᱵᱚᱝᱜᱟ ᱵᱩᱨᱩ
nllb	एक स्वस्थ गर्भावस्था के लिए एक अत्यंत महत्वपूर्ण भूमिका अपेक्षित मां का पोषण है।	ᱜᱤᱫᱨᱟᱹ ᱠᱩ ᱦᱩᱭᱩᱜᱼᱟ ᱚᱝᱠᱟᱱ ᱜᱚᱜᱚ ᱦᱚᱲᱠᱩ ᱞᱟᱹᱜᱤᱛ ᱥᱟᱹᱯᱲᱤ ᱟᱹᱰᱤ ᱵᱷᱟᱜᱮᱭᱟ᱾
nllb	उसमे दही और गुलाब जल भी मिला लें।	ᱢᱤᱫᱽ ᱫᱟᱜ ᱟᱨ ᱛᱚᱣᱟ ᱢᱤᱫᱽ ᱢᱮ
nllb	मर्द और औरत में ,	ᱠᱚᱲᱟ ᱡᱟᱹᱛᱤ ᱟᱨ ᱠᱩᱲᱤ ᱡᱟᱹᱛᱤ᱾
nllb	रेफेरेंसः यूरोप	ᱥᱟᱱᱛᱟᱲᱤ: ᱤᱭᱩᱨᱚᱯ
nllb	सभी तत्वों को पॉलिश और वार्निश किया गया है।	ᱦᱚᱛᱮᱡ ᱛᱮ ᱥᱟᱱᱟᱢ ᱵᱨᱤᱡᱽ ᱟᱨ ᱯᱳᱦᱳᱞ ᱠᱚ ᱵᱚᱱᱫᱚ ᱦᱩᱭ ᱟᱠᱟᱱᱟ ᱾
wikimedia	पश्चिम में किशोर अवस्था का विशेष अध्ययन कई मनोवैज्ञानिकों ने किया है। किशोर अवस्था काम भावना के विकास की अवस्था है। कामवासना के कारण ही बालक अपने में नवशक्ति का अनुभव करता है। वह सौंदर्य का उपासक तथा महानता का पुजारी बनता है। उसी से उसे बहादुरी के काम करने की प्रेरणा मिलती है।	ᱯᱚᱥᱪᱤᱢ ᱨᱮ ᱠᱤᱥᱷᱚᱨᱟᱣᱟᱥᱛᱷᱟ ᱨᱮᱱᱟᱜ ᱟᱥᱚᱞ ᱟᱫᱷᱭᱭᱟᱱ ᱟᱭᱢᱟ ᱢᱟᱱᱚᱣᱮᱜᱭᱟᱱᱤᱠ ᱠᱚ ᱧᱮᱞ ᱠᱮᱫ ᱟ ᱾ ᱠᱤᱥᱷᱚᱨᱟᱣᱟᱥᱛᱷᱟ ᱠᱟᱹᱢᱤ ᱵᱷᱟᱵᱱᱟ ᱠᱚ ᱣᱤᱠᱟᱥ ᱨᱮᱱᱟᱜ ᱟᱣᱟᱥᱛᱷᱟ ᱠᱟᱱᱟ᱾ ᱠᱟᱹᱢᱤ ᱣᱟᱥᱱᱟ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱜᱤᱫᱨᱟᱹ ᱟᱭᱟᱡ ᱨᱮᱜᱮ ᱱᱟᱶᱟ ᱫᱟᱲᱮ ᱨᱮᱱᱟᱜ ᱟᱱᱩᱵᱷᱟᱣ ᱮᱫᱟᱭ᱾ᱩᱱᱤ ᱵᱮᱥ ᱨᱮᱱᱟᱜ ᱩᱯᱟᱥᱟᱠ ᱟᱨ ᱢᱚᱦᱟᱱᱛᱟ ᱨᱮᱱᱤᱡ ᱯᱩᱡᱟᱨᱤ ᱵᱟᱱᱟᱜ ᱠᱟᱱᱟᱭ᱾ᱚᱱᱟ ᱠᱷᱚᱱ ᱜᱮ ᱩᱱᱤ ᱫᱚ ᱵᱤᱨᱫᱟᱨ ᱨᱮ ᱠᱟᱹᱢᱤ ᱨᱮᱱᱟᱜ ᱥᱤᱠᱷ ᱟᱹᱛ ᱮ ᱧᱟᱢ ᱮᱫᱟ᱾
nllb	2019 में ग्रीस की खोज	᱒᱐᱑᱖ ᱨᱮ ᱡᱚᱜᱽᱡᱤᱛ ᱠᱚᱣᱨ
nllb	लकड़ी में अफ्रीकी जोड़ी।	ᱣᱤᱠᱤᱠᱩᱣᱚᱴ ᱨᱮ ᱟᱯᱷᱨᱤᱠᱟᱱᱥ ᱥᱟᱶ ᱡᱚᱲᱟᱣᱟᱱᱟᱜ ᱠᱟᱛᱷᱟ ᱠᱚ ᱾
nllb	वैज्ञानिक लम्बे समय से इस पर शोध कर रहे हैं.	ᱟᱹᱰᱤ ᱥᱮᱫᱟᱭ ᱠᱷᱚᱱᱟᱜ ᱱᱚᱶᱟ ᱠᱟᱛᱷᱟ ᱫᱟᱨᱥᱚᱱᱤᱠ ᱟᱨ ᱥᱟᱬᱮᱥᱤᱭᱟᱹ ᱠᱚ ᱱᱚᱶᱟ ᱵᱟᱵᱚᱫ ᱛᱮᱠᱚ ᱪᱟᱨᱪᱟ ᱟᱹᱜᱩᱭᱮᱜᱼᱟ ᱾
nllb	एक रविवार को चलती है ।	ᱮᱭᱟᱭ ᱢᱟᱦᱟᱸ ᱨᱮ ᱢᱤᱫ ᱦᱟᱯᱛᱟ ᱦᱩᱭᱩᱜᱼᱟ ᱾
nllb	विज्ञान वर्ष	ᱥᱮᱨᱢᱟ ᱥᱟᱬᱮᱥ
nllb	अगर आपमें वो बात नहीं,	ᱡᱩᱫᱤ ᱱᱚᱣᱟ ᱠᱟᱛᱷᱟ ᱵᱟᱝ ᱥᱟᱹᱨᱤᱜ
nllb	फ़िल्मः यादें (2001)	ᱜᱟᱞᱢᱟᱨᱟᱣ:ᱚᱡᱽᱱᱚᱵᱤ (᱒᱐᱐᱑ ᱯᱷᱤᱞᱢ)
nllb	एक वो भी ज़िन्दगी;	ᱛᱤᱛᱩᱫᱚᱦᱚ ᱤᱭᱩᱱᱤᱭᱚᱱ;
wikimedia	भगनाड़ी	ᱵᱷᱟᱜᱱᱟᱲᱤ
nllb	अभीष्ट सप्तमी	᱗ ᱱᱟᱦᱟᱜ ᱦᱟᱞᱚᱛ
nllb	तुर्केमेनिस्तान में इंटरनेट	ᱴᱣᱤᱴᱚᱨ ᱨᱮ ᱟᱨᱢᱮᱱᱤᱭᱟ
nllb	जापान में खेल	ᱡᱟᱯᱟᱱ ᱨᱮ ᱠᱷᱤᱞᱚᱱᱰ
nllb	नहीं खा रहा है।	ᱡᱚᱢ ᱟᱥᱮ ᱵᱟᱝ ᱟ ᱾
nllb	हम है ना, है ना हिन्दुस्तान	ᱠᱚᱞᱠᱟᱛᱟ, ᱯᱟᱪᱷᱮ ᱵᱟᱝᱞᱟ, ᱥᱤᱧᱚᱛ
nllb	सहारा: आफ्रीका	ᱥᱟᱱᱛᱟᱲᱤ: ᱟᱯᱷᱨᱤᱠᱟ
nllb	(0 100) पर िनयत िकया जाया है ।	ᱱᱤᱭᱟᱹ ᱦᱚᱱᱚᱛ ᱨᱮ ᱫᱚ ᱮᱭᱟᱭ (᱗) ᱜᱚᱴᱟᱝ ᱩᱯᱚᱡᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ᱾
nllb	टेलीफोन बातचीत	ᱴᱮᱞᱤᱯᱷᱚᱱ ᱠᱚᱲ
nllb	बड़ा होता है "	ᱱ ᱨᱮᱦᱚᱸ ᱚᱱᱟ ᱛᱮᱜᱮ ᱢᱟᱨᱟᱝ-ᱟ᱾"
nllb	तीनों जीवनों पर छाया हुआ है।	ᱦᱮᱜᱮᱞ ᱟᱭᱟᱜ ᱡᱤᱭᱚᱱ ᱨᱮ ᱯᱚᱱᱮᱭᱟ ᱚᱞᱮ ᱚᱞ ᱟᱠᱟᱫᱟ᱾
wikimedia	रोग	ᱨᱩᱣᱟᱹ
nllb	सब अपनी चाल चले	ᱡᱟᱠᱤ ᱟᱡᱟᱜ ᱰᱟᱺᱜᱩᱣᱟ.
nllb	लोगो के के सामने हाथ फैलाता हूँ॥	ᱤᱧ ᱠᱷᱟᱹᱛᱤᱨ ᱛᱮ ᱦᱚᱲ ᱠᱚ ᱳᱠᱳᱱᱟ,
nllb	एकड़ का उपयोग करने वाले देश	ᱟᱨᱚᱵᱤᱠ ᱦᱚᱨᱚᱯ ᱵᱮᱵᱷᱟᱨᱚᱜ ᱠᱟᱱ ᱫᱤᱥᱚᱢ ᱠᱚ
nllb	वेबिनार में	ᱣᱮᱵ ᱫᱩᱱᱤᱭᱟ ᱨᱮ
wikimedia	किशोर बालक उपर्युक्त मन:स्थितियों को पार करके, विषमलिंगी प्रेम अपने में विकसित करता है और फिर प्रौढ़ अवस्था आने पर एक विषमलिंगी व्यक्ति को अपना प्रेमकेंद्र बना लेता है, जिसके साथ वह अपना जीवन व्यतीत करता है।	ᱡᱩᱣᱟᱹᱱ ᱠᱚᱲᱟ ᱪᱮᱛᱟᱱᱨᱮ ᱞᱮᱠᱟᱛᱮ ᱢᱚᱱ ᱥᱛᱷᱤᱛᱤ ᱠᱚ ᱯᱟᱨᱚᱢ ᱠᱟᱛᱮᱜ ᱣᱤᱥᱷᱟᱢ ᱞᱤᱸᱜᱤ ᱫᱩᱞᱟᱹᱲ ᱟᱡ ᱨᱮᱜᱮ ᱣᱤᱠᱥᱤᱛᱚᱜ ᱠᱟᱱᱟ ᱟᱨ ᱫᱚᱦᱲᱟ ᱯᱨᱚᱲᱷ ᱟᱣᱟᱥᱛᱷᱟ ᱦᱤᱡᱩᱜ ᱨᱮ ᱢᱤᱫ ᱣᱤᱥᱷᱟᱢ ᱞᱤᱸᱜᱤ ᱦᱚᱲ ᱟᱡᱨᱤᱱ ᱫᱩᱞᱟᱹᱲ ᱛᱟᱞᱟ ᱮ ᱠᱟᱱᱟᱢ, ᱡᱟᱦᱟᱸᱭ ᱥᱟᱸᱣ ᱟᱡᱟᱜ ᱡᱤᱵᱚᱱ ᱥᱟᱶ ᱛᱟᱦᱮᱱ ᱟᱭ᱾
nllb	यह देश मेरा ॥	ᱱᱚᱣᱟ ᱫᱤᱥᱚᱢ ᱫᱚ ᱤᱧᱟᱜ ᱠᱟᱱᱛᱤᱧ
wikimedia	राठी	ᱨᱟᱴᱷᱤ
wikimedia	तेल	ᱥᱩᱱᱩᱢ
nllb	सारे पन्ने फट गए !	ᱥᱟᱱᱛᱟᱲᱤ ᱱᱤᱩᱡᱽ ᱰᱮᱥᱠ ᱺ ᱫᱚᱥ ᱟᱠᱟᱫᱟᱢ !
wikimedia	परिभाषा	ᱵᱷᱟᱥᱷᱟ
nllb	(हिन्द-यूरोपीय भाषा परिवार से अनुप्रेषित)	(ᱤᱱᱫᱳ-ᱤᱣᱨᱳᱯᱤᱭᱟᱱ ᱯᱟᱹᱨᱥᱤ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱠᱷᱚᱱ ᱟᱹᱪᱩᱨ ᱦᱮᱡᱠᱟᱱᱟ)
nllb	पलकों को छुआयी थी;	ᱚᱛᱮ ᱟᱧᱡᱚᱢᱚᱜ ᱠᱟᱱ ᱦᱚᱢᱚᱨ ᱟᱲᱟᱝ;
nllb	शहद के साथ -	ᱜᱟᱶᱛᱟ ᱥᱟᱶ -
nllb	वे लोग जापानी हैं।	ᱠᱟᱛᱮ, ᱩᱱᱠᱩ ᱦᱚ' ᱡᱟᱯᱟᱱᱤ ᱱᱟᱜᱟᱨᱤᱭᱟ.
nllb	राष्ट्र बनाता नागरिक, जग करता स्वीकार।	ᱚᱱᱠᱟᱱ ᱠᱟᱹᱢᱤᱧ ᱧᱮᱞ ᱚᱪᱚᱭᱟ, ᱫᱤᱥᱚᱢ ᱦᱚᱲ ᱠᱚ ᱥᱟᱨᱦᱟᱣ ᱤᱧ ᱢᱟ, ᱵᱷᱟᱹᱜᱤ ᱦᱚᱲ ᱤᱧ ᱵᱮᱱᱟᱣᱜᱼᱟ ᱾
nllb	होली एक ऐसा मनभावन त्यौहार है जिसे अधिकतर सभी धर्मों के लोग मनाते हैं।	ᱢᱚᱦᱮᱱᱫᱽᱨᱚᱜᱚᱲ ᱫᱚ ᱟᱦᱤᱨᱣᱟᱞ ᱮᱞᱟᱠᱟ ᱨᱮᱱᱟᱜ ᱦᱟᱹᱴᱤᱧ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱭᱟᱫᱚᱵᱽ ᱡᱟᱹᱛ ᱦᱚᱲ ᱵᱟᱹᱲᱛᱤ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱾
nllb	नाइजीरिया तस्वीरें	ᱱᱟᱭᱡᱮᱨᱤᱭᱟ ᱨᱮᱱᱟᱜ ᱪᱤᱨ
nllb	शाम को खाट आई।	ᱵᱟᱦᱧᱟᱨ ᱠᱚᱲᱟ ᱛᱟᱞᱟ ᱧᱤᱱᱫᱟᱹᱠᱳ ᱵᱚᱞᱚ ᱞᱮᱱᱟ᱾
wikimedia	अकबर के दरबार में अकबर इन्हें "वीर वर" का खिताब दिया, चलते चलते वह बीरबल होगया।	ᱟᱠᱵᱟᱨᱟᱜ ᱫᱚᱨᱵᱟᱨ ᱨᱮ ᱟᱠᱵᱟᱨ ᱩᱱᱤ"ᱣᱤᱨ ᱣᱟᱨ" ᱨᱮᱱᱟᱜ ᱠᱷᱤᱛᱟᱵ ᱠᱚ ᱮᱢᱟᱫᱮᱭᱟᱭ, ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱩᱱᱤ ᱵᱤᱨᱵᱚᱞ ᱮ ᱦᱩᱭ ᱮᱱᱟ᱾
nllb	मूल्य: ४० लाख.	ᱫᱚᱥᱟᱨ ᱯᱟᱹᱨᱥᱤ: ᱔ ᱢᱤᱞᱤᱭᱚᱱ[᱒]
nllb	बोर्ड में 2 चुनाव हों।	ᱱᱩᱣᱟᱯᱚᱰᱟ ᱦᱚᱱᱚᱛ ᱨᱮ ᱵᱟᱨᱭᱟ ᱵᱤᱫᱷᱟᱱ ᱥᱚᱵᱷᱟ ᱵᱟᱪᱷᱱᱟᱣ ᱴᱚᱴᱷᱟ ᱢᱮᱱᱟᱜ-ᱟ ᱾
wikimedia	वर्गीकरण	ᱦᱟᱹᱴᱤᱝ ᱠᱚ
nllb	1908 में शिकागो में चिकित्सकों और सर्जनों फुटबॉल टीम	᱑᱙᱖᱘ ᱥᱟᱞ ᱨᱮ ᱡᱮᱹᱥᱤᱹ ᱟᱨ ᱞᱤᱠᱰᱤᱠᱚᱨ
nllb	विश्व चैम्पियनशिप में दूसरा स्थान	᱖ ᱫᱚᱥᱟᱨ ᱡᱮᱜᱮᱛ ᱦᱩᱞ ᱨᱮ ᱫᱟᱣ ᱦᱟᱛᱟᱣ
nllb	भारत की पारी इस प्रकार	ᱥᱤᱧᱚᱛ; ᱨᱮᱱᱟᱜ [ᱯᱚᱱᱚᱛ ᱠᱚᱨᱮ:
nllb	साँचाःयूरोप - विकिपीडिया	ᱜᱟᱞᱢᱟᱨᱟᱣ:ᱭᱩᱨᱮᱱᱤᱭᱟᱢ - ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ
nllb	उसे, हर किसीको, खेल में हराने का शौक था,	ᱠᱚᱣᱟᱜ ᱢᱤᱫ ᱜᱟᱫᱮᱞ ᱛᱟᱦᱮᱸᱱᱟ , ᱡᱟᱦᱟᱸᱭ ᱫᱚ ᱡᱚᱛᱚ ᱠᱷᱮᱞᱚᱸᱰᱤᱭᱟ.
nllb	3 अन्य भाषाओं से लिए गए मुहावरे	᱓ ᱮᱴᱟᱜ ᱯᱟᱹᱨᱥᱤ ᱨᱮᱭᱟᱜ ᱚᱨᱥᱚᱝ
nllb	सन् 1998 में प्रकाशित व पुरस्कृत	᱒᱐᱑᱙ ᱨᱮ ᱛᱷᱟᱯᱚᱱ ᱯᱚᱱᱚᱛ ᱟᱨ ᱮᱞᱟᱠᱟ
nllb	सबसे जुदा शान हैं इसकी .	ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱞᱟᱦᱟ ᱢᱩᱜᱚᱞ ᱥᱟᱥᱚᱱᱤᱭᱟ.
nllb	1937 के निर्वाचन के परिणाम	᱓ ᱒᱐᱑᱙ ᱨᱮᱭᱟᱜ ᱵᱟᱪᱦᱱᱟᱣ
nllb	ऊपर या नीचे लेटें	ᱩᱛᱟᱨ ᱥᱮ ᱞᱮᱠ
nllb	ख़्वाब देखा न करो,	ᱦᱩᱫᱤᱥ ᱵᱚ ᱫᱚᱦᱚᱭ ᱢᱟ᱾
wikimedia	तेनाली रामाकृष्णापंडित श्री राम आचार्य शर्मा	ᱛᱮᱱᱟᱞᱤ ᱨᱟᱢᱠᱨᱤᱥᱱᱟᱯᱟᱸᱰᱤᱛ ᱥᱟᱨᱤ ᱨᱟᱢ ᱟᱪᱟᱨᱭ ᱥᱷᱟᱨᱢᱟ
nllb	मूल रूप से बाेलने वाले लाेगः 2.5-3 मिलियन (2008)	ᱛᱷᱟᱱᱤᱛ ᱨᱚᱲᱼᱦᱚᱲ: ᱟᱢᱫᱟᱡᱽ ᱑᱕ ᱠᱷᱚᱱ ᱒᱐ ᱢᱤᱞᱤᱭᱚᱱ ᱜᱟᱱ (᱒᱐᱒᱐)
nllb	घड़ियाँ पुरुषों, महिलाओं घड़ियों	ᱰᱟᱦᱟᱨ ᱨᱮᱱ ᱦᱚᱲ, ᱥᱩᱵᱷᱟ
nllb	इस दुनिया में हर कोई आशिक शायर नही बन सकता,	ᱡᱚᱱᱛᱨᱚ ᱫᱟᱨᱟᱭ ᱡᱟᱸᱦᱟᱸᱱ ᱛᱚᱨᱡᱚᱢᱟ ᱫᱚ ᱱᱚᱸᱰᱮ ᱵᱟᱝ ᱜᱟᱱᱚᱜ-ᱟ᱾
nllb	किसानों को होगी पहली परेशानी	ᱞᱟᱵᱷᱩᱠ ᱠᱚ ᱡᱟᱦᱟ ᱯᱨᱚ᱐ᱥᱟᱦᱚᱱ ᱯᱩᱭᱥᱟ.
